CONFIGURATION USED
DCno: 2
Sector/DC: 1
Aisles/Sector: 1
Racks/aisle: 2
Hosts/Rack: 800
Application( if using workload , type 0 ): 0
ReplicationFactor: 2
DCfailure: 0
Sectorfailure: 0
Aislefailure: 0
Rackfailure: 1
Hostfailure: 0

 INITIALIZING the configuration 
0.1: Broker: VM #140 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #70
0.1: Broker: VM #141 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #70
0.1: Broker: VM #142 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #71
0.1: Broker: VM #143 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #71
0.1: Broker: VM #144 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #72
0.1: Broker: VM #145 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #72
0.1: Broker: VM #146 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #73
0.1: Broker: VM #147 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #73
0.1: Broker: VM #148 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #74
0.1: Broker: VM #149 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #74
0.1: Broker: VM #150 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #75
0.1: Broker: VM #151 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #75
0.1: Broker: VM #152 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #76
0.1: Broker: VM #153 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #76
0.1: Broker: VM #154 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #77
0.1: Broker: VM #155 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #77
0.1: Broker: VM #156 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #78
0.1: Broker: VM #157 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #78
0.1: Broker: VM #158 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #79
0.1: Broker: VM #159 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #79
0.1: Broker: VM #160 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #80
0.1: Broker: VM #161 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #80
0.1: Broker: VM #162 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #81
0.1: Broker: VM #163 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #81
0.1: Broker: VM #164 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #82
0.1: Broker: VM #165 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #82
0.1: Broker: VM #166 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #83
0.1: Broker: VM #167 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #83
0.1: Broker: VM #168 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #84
0.1: Broker: VM #169 has been created in Datacenter #2, Sector #0, Aisle #0, Rack #0, Host #84
